scope	route	ORE_2015_profiles	representative	core	retained_adapter	meaningful_addition_removal_evidence	exact_rebuild_boundary
automatic	elc	288	ore_ont_105.owl	EL completion or typed positive-EL ABox	IncrementalClassifier / IncrementalPositiveAboxClassifier	complete_source_el_addition_reuses_the_fixpoint; complete_source_el_removal_retains_an_independent_component; positive_el_abox_updates_reuse_typed_completion_state	EL normal-form replacement that removes an old direct form; typed ABox certificate or route change declines
automatic	certified_el_production	5	ore_ont_6682.owl	certified EL with complete production fallback	same EL/CB retained cores selected from the complete normalized clauses	every_automatic_clause_route_alias_uses_its_complete_retained_core plus EL and CB delta suites	certificate/route migration installs the corresponding complete adapter atomically
automatic	production_all	220	ore_ont_33.owl	CB production portfolio	IncrementalClassifier CB contexts and derivation dependencies	automatic_production_portfolio_reuses_its_complete_cb_state; incremental_cb_reasoning::cb_additions_removals_and_rejections_match_every_fresh_fixpoint	incomplete typed side state, unsupported clause delta, or route migration
automatic	production_all1	5	ore_ont_1016.owl	single-thread CB production policy	same IncrementalClassifier CB core as production_all	every_automatic_clause_route_alias_uses_its_complete_retained_core plus CB addition/removal suite	same semantic boundaries as production_all; thread count is scheduling only
automatic	nominals	36	ore_ont_178.owl	exact nominal-aware CB	IncrementalClassifier when complete nominal/ABox provenance is clause-represented	exact_nominal_clause_route_reuses_cb_state_and_matches_fresh; source_incremental_nominals::nominal_cb_addition_retains_state_and_equals_fresh_classify	non-clausal or incomplete nominal side state, unsupported update, or route migration
automatic	certified_nominals	9	ore_ont_3260.owl	certified native bridge with exact nominal CB fallback	complete nominal CB adapter or typed bridge adapter, according to the normalized certificate	certified_nominal_route_preserves_singleton_taxonomy_during_cb_delta; incremental_ht::exact_bridge_seed_preserves_rows_and_supports_subject_delta	bridge/certificate decline or changed side state outside the typed adapter
automatic	ht_general	22	ore_ont_148.owl	ordinary typed hypertableau	IncrementalHtClassifier completed models and probe dependencies	automatic_general_ht_route_retains_clause_only_nominal_probes; incremental_ht_reasoning::ht_deletion_and_replacement_use_monotonic_evidence_and_dependency_rechecks	changed unsupported typed side state, incomplete replay, blocking-certificate decline, or route migration
automatic	ht_bridge	2	ore_ont_9944.owl	certified hypertableau bridge	IncrementalBridgeClassifier seeded only from the exact published taxonomy	incremental_ht::exact_bridge_seed_preserves_rows_and_supports_subject_delta; incremental_ht::bridge_disconnected_changes_reuse_unaffected_subject_rows; incremental_ht::bridge_concept_replacement_reuses_a_disconnected_subject_component; IBEX 51003988 proves fresh equality and restoration on both automatic profiles	bridge preparation/certificate decline or a change for which no unaffected subject row survives; the connected 9944 and 11311 edits honestly report exact_rebuild
automatic	certified_card_nominals	1	ore_ont_9540.owl	cardinality and nominal typed hypertableau	IncrementalHtClassifier card-typed probes/models	automatic_card_nominal_route_reuses_typed_probes_and_matches_fresh; incremental_ht::typed_cardinality_state_reasons_and_reuses_disconnected_probes	cardinality/RBox preparation decline, incomplete model replay, or route migration
automatic	ht_rules	3	ore_ont_2669.owl	DL-safe rule consistency plus exact taxonomy	IncrementalRulesClassifier retained TBox taxonomy and typed rule/ABox probe	source_incremental_rules::rules_route_retains_taxonomy_across_abox_clash_and_retraction	terminology, signature, IRI map, RBox, cardinality, definer, or normalized source-TBox change
automatic	nominal_ni_tbox	1	ore_ont_10702.owl	nominal-introduction hypertableau specialist	IncrementalHtClassifier nominal-NI typed models/probes	ORE 10702 retained add/remove differential at commit 5f166b5; automatic_nominal_ni_abox_route_rechecks_and_reuses_models exercises the same typed core	only semantically redundant named-taxonomy edits are retained; every other Wine-shaped edit runs exact automatic classification
automatic-candidate	certified_card_proxy_abox	0	synthetic card-number-role-separable profile	certified cardinality TBox plus positive ABox projection	ProxyCard IncrementalHtClassifier with certificate recheck	automatic_proxy_card_abox_route_reuses_certified_tbox_probes	projection certificate decline, changed unsupported side state, or route migration
execution-overlay	mirror_private	1	ore_ont_4669.owl	private-mirror projection over certified bridge	IncrementalMirrorClassifier with retained bridge subject rows	ORE 4669 add/remove/fresh differential at commit 60ade3c; incremental_ht::bridge_disconnected_changes_reuse_unaffected_subject_rows	projection/reconstruction decline, changed global role clause, or no retained independent query rows
named-core	ht_qo	0	quasi-order synthetic regression	quasi-order hypertableau taxonomy	IncrementalQoClassifier query components	quasi_order_source_preparation_reuses_disconnected_queries; incremental_ht::qo_disconnected_addition_reuses_unaffected_taxonomy_queries	preparation decline, changed global clause, or route migration; not selected by the current automatic tree
named-core	nominal_ni_abox	0	synthetic nominal/cardinality ABox regression	nominal-introduction typed ABox hypertableau	IncrementalHtClassifier nominal-NI typed models/probes	automatic_nominal_ni_abox_route_rechecks_and_reuses_models	preparation or post-replay NI certificate decline; not selected by the current 592-profile corpus
